FeedbackID,ResponseID,ThreadID,SubmitterID,UserID,Positive,Inappropriate,SubmitDate
015d1394-34e3-46f4-82a0-451f4ac8b288,a7bcc9eb-e635-4894-a8c0-8c2355ece392,074abb2f-af9e-4f16-bc9a-b2215e5b2315,224e4fa8-ac03-4bfe-8616-e7226f0c11f7,4e830b51-e8c0-448d-9d29-48e28194fef1,FALSE,FALSE,9/29/22
27bcdcc0-65d0-4d2b-8f91-dce2d558bd7c,f25baf17-e7ac-43a0-8f17-cd1b5ce984d4,f25baf17-e7ac-43a0-8f17-cd1b5ce984d4,1d27d77d-0328-4be9-9b18-99b2b8efd06b,1d27d77d-0328-4be9-9b18-99b2b8efd06b,TRUE,FALSE,11/20/2022
7165489a-e35c-446f-b064-9230fcb9a6db,f25baf17-e7ac-43a0-8f17-cd1b5ce984d4,f25baf17-e7ac-43a0-8f17-cd1b5ce984d4,723ee85b-4f89-479c-bc7c-2a0e8cfe2d36,723ee85b-4f89-479c-bc7c-2a0e8cfe2d36,FALSE,FALSE,11/6/2022
c8a9f5b0-dabe-44e7-b91a-e186102ddd36,f25baf17-e7ac-43a0-8f17-cd1b5ce984d4,f25baf17-e7ac-43a0-8f17-cd1b5ce984d4,966c9e04-b2ff-4e29-930d-01804ea092dc,966c9e04-b2ff-4e29-930d-01804ea092dc,TRUE,FALSE,11/4/2022
ef2e1986-6c64-4045-96b7-c837a1647807,f25baf17-e7ac-43a0-8f17-cd1b5ce984d4,f25baf17-e7ac-43a0-8f17-cd1b5ce984d4,a08da458-a3b6-4771-8c79-8e52391cfc3c,a08da458-a3b6-4771-8c79-8e52391cfc3c,TRUE,FALSE,11/3/2022
c9487e4f-da45-43cd-b31c-74a80d03beb5,f25baf17-e7ac-43a0-8f17-cd1b5ce984d4,f25baf17-e7ac-43a0-8f17-cd1b5ce984d4,c043079d-30f2-4fbb-ab87-1e2b10bef234,c043079d-30f2-4fbb-ab87-1e2b10bef234,TRUE,FALSE,11/18/2022
b8a247f1-8cf5-4790-b5f2-a36b3a528fea,f25baf17-e7ac-43a0-8f17-cd1b5ce984d4,f25baf17-e7ac-43a0-8f17-cd1b5ce984d4,12d09e49-2368-44d8-b21c-1b8e10c7cb2e,12d09e49-2368-44d8-b21c-1b8e10c7cb2e,TRUE,FALSE,11/9/2022
5d447f35-a74d-4ff5-b817-e8a1b10a24e9,f25baf17-e7ac-43a0-8f17-cd1b5ce984d4,f25baf17-e7ac-43a0-8f17-cd1b5ce984d4,0f987ea6-6a42-4a69-9bdd-626139d1ad55,0f987ea6-6a42-4a69-9bdd-626139d1ad55,TRUE,FALSE,11/11/2022
dc2a3632-ce5b-4858-997a-705b72e78a0e,f25baf17-e7ac-43a0-8f17-cd1b5ce984d4,f25baf17-e7ac-43a0-8f17-cd1b5ce984d4,9d8d194b-2279-44de-b13e-f9f8d842b0b9,9d8d194b-2279-44de-b13e-f9f8d842b0b9,TRUE,FALSE,11/5/2022
b5267255-0bc9-4fd6-b14c-f5cfdbd8fc03,f25baf17-e7ac-43a0-8f17-cd1b5ce984d4,f25baf17-e7ac-43a0-8f17-cd1b5ce984d4,7dd8ad5e-b291-4cbd-9c59-6df17ef06719,7dd8ad5e-b291-4cbd-9c59-6df17ef06719,TRUE,FALSE,11/3/2022
91b1b9ae-466e-426a-ba2e-312704a8277a,f25baf17-e7ac-43a0-8f17-cd1b5ce984d4,f25baf17-e7ac-43a0-8f17-cd1b5ce984d4,aa3056c0-0806-4a57-b3b3-f8b292f6c17b,aa3056c0-0806-4a57-b3b3-f8b292f6c17b,TRUE,FALSE,11/9/2022
cb522fab-4f84-48bd-a9de-5090c95101f8,f25baf17-e7ac-43a0-8f17-cd1b5ce984d4,f25baf17-e7ac-43a0-8f17-cd1b5ce984d4,646eb605-7ce0-4bc3-9782-060a58e8df0a,646eb605-7ce0-4bc3-9782-060a58e8df0a,TRUE,FALSE,11/8/2022
749c9a15-2961-4f62-afac-cd76051bee17,f593f5be-998b-4656-8b9b-50a57b031ff7,f593f5be-998b-4656-8b9b-50a57b031ff7,1d27d77d-0328-4be9-9b18-99b2b8efd06b,1d27d77d-0328-4be9-9b18-99b2b8efd06b,TRUE,FALSE,11/17/2022
d9138d93-4468-4f7e-92db-e5dcb2b12ee9,f593f5be-998b-4656-8b9b-50a57b031ff7,f593f5be-998b-4656-8b9b-50a57b031ff7,723ee85b-4f89-479c-bc7c-2a0e8cfe2d36,723ee85b-4f89-479c-bc7c-2a0e8cfe2d36,TRUE,FALSE,11/14/2022
1edf93d8-607e-42f7-a8b3-096ead6d0f59,f593f5be-998b-4656-8b9b-50a57b031ff7,f593f5be-998b-4656-8b9b-50a57b031ff7,966c9e04-b2ff-4e29-930d-01804ea092dc,966c9e04-b2ff-4e29-930d-01804ea092dc,TRUE,FALSE,11/11/2022
365604a7-38ca-475d-82ee-a577bda4146d,f593f5be-998b-4656-8b9b-50a57b031ff7,f593f5be-998b-4656-8b9b-50a57b031ff7,a08da458-a3b6-4771-8c79-8e52391cfc3c,a08da458-a3b6-4771-8c79-8e52391cfc3c,TRUE,FALSE,11/18/2022
